InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
172782,78623, HOME DECOR LIGHT STRING,5,20/09/2012,6.87,14191.0,United Kingdom
830351,99100, JUMBO BAG RED RETROSPOT ,11,"Jul 10, 2012",14.6,18209.0,Netherlands
817817,40273,WHITE HANGING HEART T-LIGHT HOLDER ,2,01-29-2011,1.19,14764.0,United Kingdom
870340,23986,  LUNCH BAG RED RETROSPOT ,1,"Dec 08, 2011",12.95,,United Kingdom
C973108,18262, LUNCH BAG RED RETROSPOT,4,"Apr 28, 2011",4.93,17944.0,United Kingdom
135282,68473, RETRO COFFEE MUG SET ,1,2011-09-29 00:00:00,8.09,14907.0,United Kingdom
514725,12076,JUMBO BAG RED RETROSPOT,1,01/09/2012,13.71,13677.0,United Kingdom
C917439,16584,  RETRO COFFEE MUG SET ,4,"Nov 26, 2012",5.61,15321.0,United Kingdom
271172,92598,CERAMIC TEA POT FLORAL,2,2011-10-08 00:00:00,3.53,13043.0,Germany
711340,93796,SET OF 3 CAKE TINS PANTRY DESIGN,2,"Mar 14, 2012",19.02,13537.0,United Kingdom
153915,67389,ASSORTED COLOUR BIRD ORNAMENT ,1,"Apr 23, 2011",14.25,11547.0,Australia
124363,33765,  WHITE HANGING HEART T-LIGHT HOLDER ,15,2012-08-16 00:00:00,16.23,,Germany
836200,87952,VINTAGE SNAKES & LADDERS ,1,2012-08-01 00:00:00,16.94,10645.0,United Kingdom
361401,82036,SCENTED CANDLE GIFT PACK,8,2012-07-31 00:00:00,11.07,18532.0,Germany
387374,94458,PACK OF 72 RETROSPOT CAKE CASES ,10,"Jan 20, 2011",9.18,19729.0,United Kingdom
285221,96388, JUMBO BAG RED RETROSPOT ,1,"Apr 27, 2012",7.93,,United Kingdom
481965,60710,  WOODEN PICTURE FRAME WHITE FINISH ,1,27-05-2012,5.55,15534.0,United Kingdom
112834,49023, SCENTED CANDLE GIFT PACK ,1,01-11-2011,7.28,13477.0,United Kingdom
177994,57458,  PLANT POTS GARDEN SET ,5,26-06-2012,16.75,17961.0,United Kingdom
464550,95333, PACK OF 72 RETROSPOT CAKE CASES ,2,"Dec 13, 2011",14.51,17008.0,United Kingdom
335161,88443,JUMBO BAG RED RETROSPOT,2,09/04/2011,7.25,12168.0,Japan
226228,77982,VINTAGE SNAKES & LADDERS,3,05/01/2012,5.07,,United Kingdom
224232,52723,SCENTED CANDLE GIFT PACK ,3,2011-03-26 00:00:00,4.7,15506.0,EIRE
262776,31536, SET OF 3 CAKE TINS PANTRY DESIGN ,1,2011-07-30 00:00:00,4.42,10538.0,United Kingdom
299304,95040, VINTAGE SNAKES & LADDERS ,1,2011-08-17 00:00:00,15.9,14790.0,France
792378,70857,PACK OF 72 RETROSPOT CAKE CASES,7,2012-08-29 00:00:00,17.34,19933.0,United Kingdom
610571,71274, SET OF 3 CAKE TINS PANTRY DESIGN,4,29-09-2011,9.98,12676.0,United Kingdom
485296,16589,WOODEN PICTURE FRAME WHITE FINISH,3,17-12-2011,9.67,14900.0,United Kingdom
442776,77474, HOME DECOR LIGHT STRING ,2,2011-04-30 00:00:00,6.17,15655.0,United Kingdom
737854,41087,ASSORTED COLOUR BIRD ORNAMENT ,1,2011-01-13 00:00:00,14.78,11660.0,France
373302,58285,SCENTED CANDLE GIFT PACK,7,"Jan 26, 2012",15.39,11213.0,Switzerland
250943,59454,VINTAGE SNAKES & LADDERS ,3,06-26-2011,6.87,11589.0,United Kingdom
395215,98517,  JUMBO BAG RED RETROSPOT ,5,20/07/2011,7.1,18101.0,United Kingdom
367531,19321,SCENTED CANDLE GIFT PACK ,2,01/07/2012,28.82,15988.0,United Kingdom
457188,38255,RETRO COFFEE MUG SET,11,14/08/2012,3.16,19460.0,United Kingdom
501679,59079,  CERAMIC TEA POT FLORAL,5,17-11-2011,15.08,12400.0,United Kingdom
646702,74334, BIRTHDAY CARD VINTAGE DESIGN,4,11-30-2011,8.57,15801.0,Portugal
360300,85379,  ASSORTED COLOUR BIRD ORNAMENT,2,04/11/2012,8.7,10398.0,Australia
998633,31711,  PARTY BUNTING,2,09-05-2012,9.2,16086.0,Germany
878639,91993,  RETRO COFFEE MUG SET,5,25/06/2012,10.13,15401.0,United Kingdom
C440492,42151,SCENTED CANDLE GIFT PACK,7,11-03-2011,7.69,17187.0,United Kingdom
938018,57950,CERAMIC TEA POT FLORAL ,5,03-07-2012,22.47,17331.0,Switzerland
188780,11082, PARTY BUNTING ,2,24-02-2011,4.88,19473.0,United Kingdom
418457,15166,  RETRO COFFEE MUG SET ,5,16/01/2011,6.6,12280.0,Spain
638606,66078,  PACK OF 72 RETROSPOT CAKE CASES ,6,30/11/2011,3.63,19871.0,Netherlands
261637,14861, HOME DECOR LIGHT STRING ,6,06-10-2012,16.58,,EIRE
726776,47550, WHITE HANGING HEART T-LIGHT HOLDER,1,05-01-2012,18.27,11363.0,Japan
864325,20712,  PLANT POTS GARDEN SET ,7,08/01/2011,6.84,12207.0,France
195149,35028, WOODEN PICTURE FRAME WHITE FINISH ,3,2011-03-14 00:00:00,8.7,,France
941462,89244, REGENCY CAKESTAND 3 TIER,8,10-07-2011,7.4,12017.0,Netherlands
839280,47049,PLANT POTS GARDEN SET,2,"Jan 14, 2012",24.82,18679.0,Belgium
C227922,62237,  LUNCH BAG RED RETROSPOT ,3,07-16-2012,11.84,,United Kingdom
376999,88930, PARTY BUNTING,2,"Mar 23, 2011",20.35,12036.0,Spain
748140,51205,ASSORTED COLOUR BIRD ORNAMENT,1,"Jun 02, 2012",4.67,10983.0,Germany
393362,84893,  CERAMIC TEA POT FLORAL,5,13-06-2011,10.53,19535.0,Norway
223662,92979,ASSORTED COLOUR BIRD ORNAMENT ,-3,10-18-2011,4.6,11220.0,United Kingdom
936002,93100,  CERAMIC TEA POT FLORAL ,2,02/12/2011,9.34,10951.0,EIRE
619846,56994,REGENCY CAKESTAND 3 TIER ,-2,11-03-2011,18.63,,United Kingdom
697689,60511,  PLANT POTS GARDEN SET ,13,"Jan 12, 2011",7.79,13316.0,United Kingdom
976332,40161, LUNCH BAG RED RETROSPOT,1,12-08-2010,6.95,19567.0,United Kingdom
333076,91227, WOODEN PICTURE FRAME WHITE FINISH,1,"Jun 11, 2012",7.56,10764.0,United Kingdom
241753,34125,BIRTHDAY CARD VINTAGE DESIGN ,1,08-06-2011,24.27,,United Kingdom
889770,25634, REGENCY CAKESTAND 3 TIER ,2,15/12/2011,5.24,18396.0,United Kingdom
794779,17282, LUNCH BAG RED RETROSPOT,7,09-22-2011,8.23,,United Kingdom
C878928,48400,  PLANT POTS GARDEN SET ,3,"Mar 27, 2011",4.69,15155.0,United Kingdom
153024,14521,  SCENTED CANDLE GIFT PACK ,2,"Dec 27, 2010",12.66,13487.0,United Kingdom
382533,65983,REGENCY CAKESTAND 3 TIER ,6,29/05/2012,9.52,12933.0,United Kingdom
879966,41661, LUNCH BAG RED RETROSPOT ,9,"Mar 06, 2011",8.31,14974.0,Germany
242832,99247, SCENTED CANDLE GIFT PACK ,3,2012-05-09 00:00:00,10.26,14942.0,United Kingdom
856350,83124,ASSORTED COLOUR BIRD ORNAMENT,7,2011-02-27 00:00:00,18.79,14206.0,United Kingdom
106163,89172,  PARTY BUNTING,-4,InvalidDate,2.18,10864.0,Portugal
697013,15656,  REGENCY CAKESTAND 3 TIER,-1,06-27-2012,9.61,,United Kingdom
606289,51721, PACK OF 72 RETROSPOT CAKE CASES ,1,"Mar 04, 2012",31.08,12748.0,United Kingdom
747861,34315,  RETRO COFFEE MUG SET ,6,2012-08-11 00:00:00,13.2,11008.0,United Kingdom
923513,91257, PLANT POTS GARDEN SET,12,"Dec 17, 2011",9.15,17793.0,United Kingdom
690127,14470,LUNCH BAG RED RETROSPOT ,7,07-31-2011,5.43,12230.0,United Kingdom
183038,50078, SET OF 3 CAKE TINS PANTRY DESIGN ,1,"Feb 13, 2011",14.02,16986.0,United Kingdom
416405,19047, VINTAGE SNAKES & LADDERS ,5,07-09-2011,7.54,10234.0,Netherlands
880343,17160, VINTAGE SNAKES & LADDERS,2,08-31-2012,2.13,11224.0,United Kingdom
C897700,64610, VINTAGE SNAKES & LADDERS ,1,07-25-2011,41.47,13871.0,United Kingdom
189460,49427,  CERAMIC TEA POT FLORAL,2,InvalidDate,7.94,16572.0,Switzerland
928552,52734, WHITE HANGING HEART T-LIGHT HOLDER,3,13/06/2012,6.59,10773.0,United Kingdom
708919,46672, SET OF 3 CAKE TINS PANTRY DESIGN,10,08-11-2011,15.89,11754.0,United Kingdom
355539,20796,RETRO COFFEE MUG SET,1,2012-02-14 00:00:00,16.09,15140.0,Germany
359418,72982,  PLANT POTS GARDEN SET,5,27/01/2011,4.35,17162.0,United Kingdom
167421,70746, PARTY BUNTING ,10,InvalidDate,11.53,19689.0,United Kingdom
966164,34647,  SET OF 3 CAKE TINS PANTRY DESIGN ,1,2012-04-24 00:00:00,14.58,12934.0,United Kingdom
971217,62927, SET OF 3 CAKE TINS PANTRY DESIGN,1,"Mar 12, 2011",4.7,,United Kingdom
379934,28642, CERAMIC TEA POT FLORAL ,8,07-04-2011,8.13,11725.0,United Kingdom
538988,38475,  RETRO COFFEE MUG SET,-5,"Oct 05, 2012",8.32,18754.0,EIRE
626683,61712,  CERAMIC TEA POT FLORAL ,-8,"Apr 27, 2011",7.52,12075.0,United Kingdom
580891,30672, HOME DECOR LIGHT STRING,8,17-07-2011,5.53,,United Kingdom
168247,95140,  PLANT POTS GARDEN SET ,6,"Aug 10, 2011",14.01,15641.0,Netherlands
709654,76558, ASSORTED COLOUR BIRD ORNAMENT,4,"Dec 28, 2010",20.81,17207.0,United Kingdom
124363,33765,  WHITE HANGING HEART T-LIGHT HOLDER ,15,2012-08-16 00:00:00,16.23,,Germany
161748,72103, ASSORTED COLOUR BIRD ORNAMENT,-4,12-19-2011,54.97,12036.0,United Kingdom
670303,92805,  VINTAGE SNAKES & LADDERS ,-7,2012-11-10 00:00:00,14.22,13176.0,Germany
554529,79180,PACK OF 72 RETROSPOT CAKE CASES,2,"Jan 20, 2011",11.8,19949.0,United Kingdom
404751,99716, ASSORTED COLOUR BIRD ORNAMENT,2,"Jul 15, 2011",4.52,,United Kingdom
C992008,58469, BIRTHDAY CARD VINTAGE DESIGN,4,"Feb 28, 2012",5.74,13592.0,United Kingdom
137310,79407,REGENCY CAKESTAND 3 TIER ,4,"May 03, 2011",21.45,,United Kingdom
836618,48698, VINTAGE SNAKES & LADDERS ,4,11-03-2012,8.74,,France
989258,47355,  REGENCY CAKESTAND 3 TIER ,1,2011-10-15 00:00:00,22.85,16795.0,France
406932,76046,LUNCH BAG RED RETROSPOT ,1,04-07-2012,2.64,,United Kingdom
644950,76770,  HOME DECOR LIGHT STRING,6,2012-02-23 00:00:00,9.47,17226.0,France
207157,30455,  SET OF 3 CAKE TINS PANTRY DESIGN ,1,27/03/2012,8.01,,United Kingdom
978908,91008,SET OF 3 CAKE TINS PANTRY DESIGN ,1,"May 31, 2012",8.45,18715.0,United Kingdom
805344,28409,  HOME DECOR LIGHT STRING,2,04/05/2012,16.0,,United Kingdom
604393,86757,  LUNCH BAG RED RETROSPOT,1,2012-11-02 00:00:00,11.31,18017.0,United Kingdom
481784,27659,PLANT POTS GARDEN SET,1,InvalidDate,11.07,13522.0,United Kingdom
520615,79393,WHITE HANGING HEART T-LIGHT HOLDER,3,"Apr 28, 2011",9.77,16649.0,Spain
120968,66586, WOODEN PICTURE FRAME WHITE FINISH ,2,2012-07-30 00:00:00,6.01,12781.0,United Kingdom
759510,34276,VINTAGE SNAKES & LADDERS,2,"Sep 22, 2011",5.07,15220.0,United Kingdom
629862,95180, RETRO COFFEE MUG SET,7,11-29-2012,20.53,14526.0,Norway
109491,69021, RETRO COFFEE MUG SET ,5,01-14-2012,9.46,,Belgium
820509,62627, ASSORTED COLOUR BIRD ORNAMENT,0,05-02-2011,3.33,12768.0,United Kingdom
605329,30758,SCENTED CANDLE GIFT PACK,6,08-02-2012,25.11,19786.0,United Kingdom
248940,36520, JUMBO BAG RED RETROSPOT ,2,"Apr 21, 2011",12.24,14109.0,Netherlands
131017,28443,  HOME DECOR LIGHT STRING ,1,2012-10-30 00:00:00,8.1,12142.0,EIRE
640282,61798,HOME DECOR LIGHT STRING,15,24-02-2011,7.67,,Australia
363053,19511,  BIRTHDAY CARD VINTAGE DESIGN ,4,"Sep 22, 2011",13.91,15338.0,United Kingdom
830328,44810, PACK OF 72 RETROSPOT CAKE CASES,2,25/09/2012,5.97,19380.0,United Kingdom
C550973,79535, LUNCH BAG RED RETROSPOT ,4,23/09/2012,7.39,16283.0,Netherlands
145712,92694, SCENTED CANDLE GIFT PACK ,9,2011-10-01 00:00:00,12.05,13078.0,United Kingdom
913215,26208, SCENTED CANDLE GIFT PACK ,1,11-08-2011,17.03,16679.0,United Kingdom
840373,84236, PACK OF 72 RETROSPOT CAKE CASES ,3,10/09/2011,15.25,12105.0,France
181494,79918,PARTY BUNTING,1,"Apr 23, 2011",8.2,16139.0,United Kingdom
221284,33289, VINTAGE SNAKES & LADDERS ,1,"Mar 23, 2011",6.19,,United Kingdom
298715,70067,SET OF 3 CAKE TINS PANTRY DESIGN ,1,09-10-2011,10.52,14511.0,United Kingdom
753817,37603, CERAMIC TEA POT FLORAL ,1,22/10/2011,9.95,17706.0,United Kingdom
450722,50403,  PLANT POTS GARDEN SET,18,"Nov 09, 2011",34.85,10991.0,United Kingdom
721169,87754,VINTAGE SNAKES & LADDERS,2,10-18-2012,5.09,17796.0,Belgium
308106,10211,  JUMBO BAG RED RETROSPOT,4,2011-04-12 00:00:00,5.73,19316.0,United Kingdom
848371,86034,  HOME DECOR LIGHT STRING ,-6,08-28-2011,21.01,16470.0,United Kingdom
349109,20782,  JUMBO BAG RED RETROSPOT ,3,27-03-2011,5.6,,United Kingdom
843787,22985, WHITE HANGING HEART T-LIGHT HOLDER ,2,11-11-2012,7.4,12779.0,United Kingdom
685842,30128,WOODEN PICTURE FRAME WHITE FINISH ,2,24/09/2011,5.1,10827.0,France
921391,61869,  WHITE HANGING HEART T-LIGHT HOLDER ,-6,2012-08-04 00:00:00,10.66,11971.0,United Kingdom
354451,14799,  REGENCY CAKESTAND 3 TIER,1,2012-11-18 00:00:00,12.11,,Germany
837781,66087,WHITE HANGING HEART T-LIGHT HOLDER ,6,2012-03-16 00:00:00,10.17,13337.0,Netherlands
470480,62509, BIRTHDAY CARD VINTAGE DESIGN,8,13-06-2012,15.06,15008.0,EIRE
705069,26011,  PARTY BUNTING,1,11-03-2012,29.6,11526.0,Australia
569234,86126,WOODEN PICTURE FRAME WHITE FINISH ,2,10-13-2012,8.34,,United Kingdom
769113,99541,  PLANT POTS GARDEN SET ,4,"Aug 19, 2012",17.72,,Japan
110794,97681,  REGENCY CAKESTAND 3 TIER ,-2,2012-03-10 00:00:00,6.22,12727.0,Australia
154213,21467,CERAMIC TEA POT FLORAL,1,07-05-2012,6.65,19922.0,Netherlands
894301,17802,  ASSORTED COLOUR BIRD ORNAMENT ,2,"Jan 23, 2011",5.69,,United Kingdom
169224,99438,RETRO COFFEE MUG SET,3,11-10-2011,9.09,12380.0,EIRE
210777,81427,  VINTAGE SNAKES & LADDERS,9,24-06-2012,7.55,10309.0,Australia
682314,91049,  VINTAGE SNAKES & LADDERS,1,17/12/2010,15.33,10598.0,United Kingdom
137743,54345,  PACK OF 72 RETROSPOT CAKE CASES,2,21-07-2011,8.67,,United Kingdom
662602,19664, REGENCY CAKESTAND 3 TIER,1,03/01/2011,13.15,14650.0,United Kingdom
886064,66381,  PLANT POTS GARDEN SET ,1,13/11/2012,6.11,,United Kingdom
364814,93597,  CERAMIC TEA POT FLORAL ,4,20-10-2011,7.54,11528.0,United Kingdom
180771,58155,REGENCY CAKESTAND 3 TIER ,7,02-10-2012,5.72,,United Kingdom
869302,62798,WOODEN PICTURE FRAME WHITE FINISH,2,2010-12-23 00:00:00,4.03,18201.0,United Kingdom
264437,11799,WHITE HANGING HEART T-LIGHT HOLDER ,-2,17-04-2011,5.6,,United Kingdom
C297745,87223,  VINTAGE SNAKES & LADDERS,2,03-15-2012,3.37,14454.0,France
486354,36044, HOME DECOR LIGHT STRING,2,"Feb 21, 2012",14.4,14604.0,Germany
198662,52864,  PARTY BUNTING,3,"Feb 13, 2012",5.93,16826.0,Germany
791085,54138,VINTAGE SNAKES & LADDERS ,1,09-05-2011,16.83,10973.0,United Kingdom
436243,15267,SCENTED CANDLE GIFT PACK,3,08/05/2012,3.04,18292.0,Spain
350699,56221,SET OF 3 CAKE TINS PANTRY DESIGN ,8,2012-05-15 00:00:00,41.73,15093.0,Germany
860769,55344,BIRTHDAY CARD VINTAGE DESIGN ,6,02-13-2011,16.77,11268.0,United Kingdom
489522,49235,PLANT POTS GARDEN SET,6,07/11/2012,8.14,19717.0,Portugal
623526,72461, SCENTED CANDLE GIFT PACK ,1,26/11/2011,8.58,12122.0,Switzerland
798412,59625,  PLANT POTS GARDEN SET ,3,08-11-2012,4.27,14080.0,Netherlands
390431,29283, LUNCH BAG RED RETROSPOT ,2,"Nov 02, 2011",18.89,15430.0,United Kingdom
329415,28066, PACK OF 72 RETROSPOT CAKE CASES,3,2012-04-15 00:00:00,3.88,10634.0,United Kingdom
401411,42145,  SCENTED CANDLE GIFT PACK,-2,"Dec 26, 2010",8.6,19010.0,United Kingdom
936048,78895,PLANT POTS GARDEN SET ,4,"Jan 10, 2011",3.75,,United Kingdom
862803,46807, PLANT POTS GARDEN SET,3,04-11-2011,4.67,,United Kingdom
630201,18724,  REGENCY CAKESTAND 3 TIER ,1,07-09-2011,11.6,10567.0,United Kingdom
935358,33424,  LUNCH BAG RED RETROSPOT,8,2011-08-08 00:00:00,10.22,16979.0,United Kingdom
101919,37280, BIRTHDAY CARD VINTAGE DESIGN ,4,02-01-2012,7.51,16153.0,EIRE
330395,86868, PARTY BUNTING,3,08-13-2012,8.49,10677.0,United Kingdom
C385248,54440, JUMBO BAG RED RETROSPOT,7,"Jan 07, 2012",31.96,,Belgium
635633,48502,  PLANT POTS GARDEN SET ,2,09/05/2012,3.12,15458.0,United Kingdom
C342223,38669,  BIRTHDAY CARD VINTAGE DESIGN ,4,2011-02-27 00:00:00,2.88,10337.0,United Kingdom
175010,20426, HOME DECOR LIGHT STRING ,1,13-08-2012,9.78,13876.0,United Kingdom
552201,90664, HOME DECOR LIGHT STRING ,2,10-11-2012,9.15,,Germany
992007,28227,  REGENCY CAKESTAND 3 TIER,11,"Apr 11, 2011",14.4,13417.0,Norway
782171,74037,PARTY BUNTING,5,"May 01, 2012",10.08,16700.0,United Kingdom
683247,81873,  HOME DECOR LIGHT STRING ,3,19/09/2012,9.6,10019.0,United Kingdom
333229,41139,  SET OF 3 CAKE TINS PANTRY DESIGN ,7,30/04/2011,13.55,18352.0,United Kingdom
987104,96796, PLANT POTS GARDEN SET,2,04-01-2012,7.33,18050.0,United Kingdom
362512,72257, REGENCY CAKESTAND 3 TIER ,2,"Dec 04, 2011",6.4,15961.0,EIRE
390911,63420,  RETRO COFFEE MUG SET ,4,"Nov 16, 2011",23.93,19417.0,United Kingdom
256810,60658,  ASSORTED COLOUR BIRD ORNAMENT ,2,01-12-2010,12.23,15550.0,United Kingdom
687069,60646,  JUMBO BAG RED RETROSPOT ,4,11-17-2011,0.0,19255.0,United Kingdom
612191,18498,  CERAMIC TEA POT FLORAL ,3,2011-12-29 00:00:00,8.36,13907.0,United Kingdom
924322,90869,HOME DECOR LIGHT STRING,6,"Aug 11, 2011",2.29,19562.0,United Kingdom
378252,58465, RETRO COFFEE MUG SET,2,12-17-2011,8.86,17231.0,United Kingdom
609082,68228, SET OF 3 CAKE TINS PANTRY DESIGN ,2,2011-06-01 00:00:00,7.48,16740.0,United Kingdom
958811,12696,  HOME DECOR LIGHT STRING,1,25-04-2011,8.18,15869.0,United Kingdom
333982,87173,PACK OF 72 RETROSPOT CAKE CASES,2,"Apr 17, 2012",5.68,,France
991255,58217, HOME DECOR LIGHT STRING ,1,16/05/2011,3.05,16581.0,EIRE
940597,10903, LUNCH BAG RED RETROSPOT ,3,08-25-2011,-1.0,19004.0,France
230364,49115, BIRTHDAY CARD VINTAGE DESIGN ,1,"Mar 06, 2011",12.84,14328.0,United Kingdom
234917,11845,WOODEN PICTURE FRAME WHITE FINISH ,3,09-04-2012,5.38,,United Kingdom
953575,96066,RETRO COFFEE MUG SET ,1,2012-11-02 00:00:00,9.35,,United Kingdom
880448,58197, PARTY BUNTING,1,03-01-2012,9.26,12612.0,EIRE
408166,12555,  REGENCY CAKESTAND 3 TIER ,6,18-01-2012,13.43,17835.0,United Kingdom
554472,72444,  RETRO COFFEE MUG SET,3,03-15-2012,9.19,,United Kingdom
884516,63974,PACK OF 72 RETROSPOT CAKE CASES,2,"Mar 25, 2012",12.24,19240.0,Portugal
239565,33901, SCENTED CANDLE GIFT PACK,8,15/01/2011,6.24,14904.0,Germany
585119,15462, PLANT POTS GARDEN SET,4,18/11/2011,3.78,16613.0,United Kingdom
158382,72303,LUNCH BAG RED RETROSPOT,10,2011-12-04 00:00:00,4.39,16259.0,Germany
778063,53874, RETRO COFFEE MUG SET ,3,2011-10-02 00:00:00,8.45,17166.0,United Kingdom
763779,88591, PLANT POTS GARDEN SET,1,23/02/2012,4.93,14821.0,United Kingdom
C786143,72683, WOODEN PICTURE FRAME WHITE FINISH,1,19-07-2011,6.48,18001.0,United Kingdom
C970793,10440,BIRTHDAY CARD VINTAGE DESIGN ,4,"Aug 20, 2011",3.75,11203.0,France
478355,89417,BIRTHDAY CARD VINTAGE DESIGN,7,09-21-2012,25.32,11354.0,United Kingdom
500327,67784,  PLANT POTS GARDEN SET ,1,15-09-2012,12.84,12284.0,Netherlands
935599,97154,  VINTAGE SNAKES & LADDERS ,2,"Apr 28, 2012",9.85,10121.0,EIRE
809163,57836,BIRTHDAY CARD VINTAGE DESIGN,3,28-09-2011,7.62,18092.0,EIRE
369209,83567,LUNCH BAG RED RETROSPOT ,5,04-12-2011,22.91,,Australia
143162,13515,JUMBO BAG RED RETROSPOT,1,2012-08-16 00:00:00,7.96,15096.0,Netherlands
617513,96058,RETRO COFFEE MUG SET,-9,05-14-2011,5.89,17763.0,United Kingdom
980670,78354, HOME DECOR LIGHT STRING ,4,2012-06-20 00:00:00,8.78,14974.0,Netherlands
916309,78165,  WOODEN PICTURE FRAME WHITE FINISH ,1,"Nov 29, 2011",12.51,16640.0,United Kingdom
827449,62221,CERAMIC TEA POT FLORAL ,-4,"Feb 17, 2011",8.0,10141.0,Netherlands
908826,18496,  ASSORTED COLOUR BIRD ORNAMENT ,1,12-11-2011,3.12,17573.0,Norway
690608,20119,HOME DECOR LIGHT STRING ,2,10/11/2011,7.34,19261.0,United Kingdom
C193034,78531, WHITE HANGING HEART T-LIGHT HOLDER ,2,2011-05-22 00:00:00,5.49,13708.0,United Kingdom
826050,17464, SCENTED CANDLE GIFT PACK ,1,2012-10-16 00:00:00,19.22,,Germany
717736,91981,  SET OF 3 CAKE TINS PANTRY DESIGN ,9,2011-11-05 00:00:00,8.16,19589.0,United Kingdom
809038,48785,  BIRTHDAY CARD VINTAGE DESIGN ,3,2012-07-07 00:00:00,5.49,,France
751666,36283,REGENCY CAKESTAND 3 TIER,2,"Aug 17, 2011",12.89,16900.0,Germany
823056,33057, WOODEN PICTURE FRAME WHITE FINISH ,2,03-10-2012,15.18,13047.0,United Kingdom
483556,84354, JUMBO BAG RED RETROSPOT ,3,04-15-2011,18.1,18644.0,United Kingdom
893826,19815,  WOODEN PICTURE FRAME WHITE FINISH ,5,09-13-2011,6.33,17297.0,United Kingdom
385356,20633,  HOME DECOR LIGHT STRING ,-2,02/10/2011,4.5,,Japan
686864,81880,  VINTAGE SNAKES & LADDERS ,1,2011-09-01 00:00:00,108.72,18064.0,Switzerland
260811,48286,PLANT POTS GARDEN SET ,2,09-29-2012,12.26,13622.0,United Kingdom
266129,16402, PLANT POTS GARDEN SET ,1,"Nov 07, 2011",7.5,19698.0,United Kingdom
363389,56698,  ASSORTED COLOUR BIRD ORNAMENT ,6,"May 28, 2011",8.44,18493.0,United Kingdom
725675,94046, BIRTHDAY CARD VINTAGE DESIGN ,2,26-05-2011,6.95,15263.0,Spain
856572,78358, PARTY BUNTING ,1,06-19-2011,-1.0,18860.0,United Kingdom
209935,53610,RETRO COFFEE MUG SET ,8,"Feb 23, 2012",11.64,,France
719256,48197,WOODEN PICTURE FRAME WHITE FINISH ,3,2011-01-16 00:00:00,9.76,10976.0,United Kingdom
754287,70664, JUMBO BAG RED RETROSPOT,2,2011-11-26 00:00:00,6.39,12780.0,France
929492,40657, SCENTED CANDLE GIFT PACK ,5,06-03-2012,10.24,19392.0,Japan
248112,64812, WOODEN PICTURE FRAME WHITE FINISH,3,29-05-2012,5.97,16393.0,United Kingdom
727395,66614,REGENCY CAKESTAND 3 TIER,2,09-11-2011,5.72,10337.0,United Kingdom
115588,92172,PLANT POTS GARDEN SET ,1,12/12/2011,5.88,18856.0,Australia
417817,38400,  JUMBO BAG RED RETROSPOT,3,"Jul 03, 2012",16.77,10560.0,Belgium
743784,88766, PACK OF 72 RETROSPOT CAKE CASES ,3,InvalidDate,10.62,14414.0,Germany
934082,34686,  WOODEN PICTURE FRAME WHITE FINISH ,1,24-04-2012,21.0,10517.0,Belgium
656664,87605,  PACK OF 72 RETROSPOT CAKE CASES,8,2011-01-31 00:00:00,5.22,,United Kingdom
563179,99834, LUNCH BAG RED RETROSPOT ,2,01-04-2012,7.26,17135.0,EIRE
114551,67072,PACK OF 72 RETROSPOT CAKE CASES ,4,05-16-2011,5.09,14235.0,Germany
145784,42925,  WHITE HANGING HEART T-LIGHT HOLDER,2,15-10-2011,10.66,,United Kingdom
391813,28366, JUMBO BAG RED RETROSPOT,1,"Nov 12, 2012",4.65,18218.0,Portugal
697013,15656,  REGENCY CAKESTAND 3 TIER,-1,06-27-2012,9.61,,United Kingdom
188754,41952,  WOODEN PICTURE FRAME WHITE FINISH ,1,10-09-2012,9.13,17246.0,Spain
536841,90145,PACK OF 72 RETROSPOT CAKE CASES ,-7,15-02-2011,8.4,16488.0,United Kingdom
646113,25636,JUMBO BAG RED RETROSPOT ,5,2011-08-05 00:00:00,10.52,,United Kingdom
523041,93824,HOME DECOR LIGHT STRING ,9,12-28-2011,11.65,17105.0,Belgium
C848462,37195,  JUMBO BAG RED RETROSPOT ,11,12-01-2011,3.45,14705.0,United Kingdom
671238,31346, PLANT POTS GARDEN SET ,2,2012-01-02 00:00:00,5.04,14191.0,France
826179,75158,  CERAMIC TEA POT FLORAL,1,25/10/2011,59.19,,United Kingdom
726652,27077,LUNCH BAG RED RETROSPOT ,3,"Dec 22, 2011",11.47,10789.0,United Kingdom
681330,30343, REGENCY CAKESTAND 3 TIER,3,29-03-2012,15.26,18846.0,United Kingdom
774075,37571,  PLANT POTS GARDEN SET ,3,01/01/2011,6.02,17375.0,United Kingdom
299330,36732, ASSORTED COLOUR BIRD ORNAMENT,2,26-02-2012,7.98,19440.0,United Kingdom
109404,36141,BIRTHDAY CARD VINTAGE DESIGN,-9,04/08/2012,9.68,11335.0,United Kingdom
260322,59456, REGENCY CAKESTAND 3 TIER ,1,05-16-2011,12.13,15884.0,United Kingdom
965040,31699,  JUMBO BAG RED RETROSPOT ,4,02-18-2012,17.24,17880.0,EIRE
166433,51091,  HOME DECOR LIGHT STRING,4,10/03/2012,21.34,12825.0,France
733619,80478,  HOME DECOR LIGHT STRING ,2,10-03-2011,3.07,19929.0,United Kingdom
906804,45592,  HOME DECOR LIGHT STRING ,1,03/10/2012,3.01,12156.0,United Kingdom
